epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6549,1.69299,2.38977,1.76477,0.34817,0.3985,0.31136,0.163,1.95299,2.11306,2.1292,0.000552436,0.000552436,0.000552436
2,61.5239,1.72026,1.9373,1.74962,0.35865,0.56422,0.39146,0.21249,1.70496,1.99761,1.88754,0.000888698,0.000888698,0.000888698
3,91.0014,1.64609,1.69772,1.64742,0.52492,0.50558,0.48074,0.2611,1.8287,2.34173,1.95003,0.00100492,0.00100492,0.00100492
4,116.972,1.60737,1.65447,1.63075,0.66121,0.66313,0.68956,0.39276,1.6153,1.3625,1.77822,0.000676802,0.000676802,0.000676802
5,142.871,1.5431,1.48717,1.59805,0.75542,0.71802,0.73701,0.43368,1.57095,1.23186,1.70615,0.000346736,0.000346736,0.000346736
