epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.497,1.51885,2.74645,1.65371,0.34414,0.57899,0.4149,0.21645,1.52946,3.28166,1.65791,0.000548543,0.000548543,0.000548543
2,478.937,1.45586,1.89553,1.59068,0.42535,0.75673,0.50679,0.22919,1.74501,2.13657,1.94693,0.000885576,0.000885576,0.000885576
3,707.793,1.43577,1.60551,1.55371,0.53891,0.5803,0.5805,0.3191,1.38246,1.77798,1.59033,0.00100257,0.00100257,0.00100257
4,936.002,1.37571,1.40831,1.49668,0.6698,0.83703,0.85369,0.49409,1.41792,1.22993,1.6016,0.000676802,0.000676802,0.000676802
5,1163.96,1.3035,1.23655,1.43603,0.84032,0.89289,0.87453,0.554,1.26115,0.96017,1.3852,0.000346736,0.000346736,0.000346736
