epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.576,1.53576,2.10723,1.65403,0.4995,0.8234,0.54563,0.33963,1.29937,1.69334,1.48294,0.000548543,0.000548543,0.000548543
2,369.838,1.39815,1.6765,1.49605,0.39082,0.78438,0.57181,0.31399,1.40078,1.51256,1.52918,0.000885576,0.000885576,0.000885576
3,497.83,1.31135,1.46568,1.43003,0.48231,0.80428,0.59342,0.3768,1.42876,1.43492,1.57213,0.00100257,0.00100257,0.00100257
4,682.905,1.36108,1.38599,1.44732,0.55826,0.78601,0.71594,0.46194,1.30386,1.15942,1.39754,0.000676802,0.000676802,0.000676802
5,1108.7,1.23147,1.25455,1.35506,0.64851,0.81958,0.76506,0.49195,1.28617,1.04118,1.36585,0.000346736,0.000346736,0.000346736
