epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5205,1.72173,2.25178,1.81945,0.40269,0.51611,0.38013,0.18286,2.00288,1.84623,2.25798,0.000552436,0.000552436,0.000552436
2,84.0942,1.71859,1.81752,1.76094,0.34164,0.57116,0.44304,0.19557,1.95736,1.72557,2.11845,0.000888698,0.000888698,0.000888698
3,120.87,1.58792,1.64569,1.62489,0.45304,0.68285,0.47526,0.25703,1.68915,1.54966,1.86623,0.00100492,0.00100492,0.00100492
4,156.305,1.55715,1.58104,1.60938,0.52945,0.63782,0.55901,0.32715,1.47084,1.50486,1.64894,0.000676802,0.000676802,0.000676802
5,195.165,1.46721,1.45269,1.57619,0.6415,0.69335,0.64963,0.39585,1.54797,1.31542,1.67527,0.000346736,0.000346736,0.000346736
